net,length_um
net1,308.5
_095_,295.88
_127_,281.66
_027_,271.635
one_second_counter\[10\],268.7
one_second_counter\[1\],259.08
one_second_counter\[0\],257.77
_109_,248.32
_161_,246.06
_160_,242.875
decoder.digit\[2\],238.44
decoder.digit\[0\],234.88
_159_,232.9
_075_,229.46
one_second_counter\[4\],225.24
_085_,223.81
decoder.digit\[1\],212.54
one_second_counter\[17\],205.31
_150_,203.36
one_second_counter\[16\],197.17
one_second_counter\[5\],195.62
one_second_enable,195.525
one_second_counter\[25\],193.02
_067_,188.47
one_second_counter\[24\],186.78
_112_,185.16
clknet_2_2__leaf_clk,184.86
_064_,184.72
one_second_counter\[20\],180.56
one_second_counter\[11\],175.95
decoder.digit\[3\],174.95
one_second_counter\[18\],172.905
one_second_counter\[2\],172.82
_155_,172.19
one_second_counter\[21\],170.9
one_second_counter\[8\],166.12
_068_,161.48
_038_,156.62
_077_,156.5
_113_,151.52
one_second_counter\[19\],150.96
clknet_2_0__leaf_clk,143.98
_148_,143.36
one_second_counter\[6\],143
_114_,142.24
_073_,141.01
_110_,139.58
_136_,138.34
_135_,136.88
_066_,136.86
one_second_counter\[9\],135.9
one_second_counter\[15\],135.765
one_second_counter\[12\],134.87
_145_,130.85
_079_,130.22
_141_,129.36
one_second_counter\[7\],129.1
clknet_2_3__leaf_clk,128.06
_083_,127.76
_046_,127.37
_142_,121.76
_082_,121.69
_036_,120.07
_041_,119.83
_034_,117.6
_086_,117.32
_122_,115.56
_096_,115.44
_087_,114.94
net8,113.74
_054_,112.95
_076_,111.96
_023_,111.15
net5,111.14
_108_,110.14
_147_,109.9
_069_,109.68
_015_,109.54
_117_,109.2
_014_,109.01
_071_,108.98
_100_,108.31
_048_,107.23
_078_,106.84
_037_,106.69
_061_,105.605
_116_,105.47
net3,104.8
clknet_2_1__leaf_clk,104.66
_006_,104.62
_042_,104.23
_128_,104.08
_097_,104.04
net2,102.06
_090_,101.25
_059_,101.11
_028_,100.37
_138_,98.44
_146_,96.34
clknet_0_clk,95.97
one_second_counter\[22\],95.34
_030_,94.56
clk,94.5
one_second_counter\[14\],94
_143_,92.94
_121_,91.72
_022_,91.16
_026_,90.505
_123_,89.82
_102_,89.67
_024_,89.07
_010_,88.54
_058_,88.41
_156_,86.72
_052_,86.45
_084_,86.08
_013_,85.64
one_second_counter\[26\],84.73
net4,84.34
_045_,83.59
_056_,82.63
_072_,81.84
_119_,81.44
_131_,81.16
_088_,79.54
_115_,79.08
_060_,78.64
_001_,78.52
_107_,77.8
_149_,77.76
_003_,77.68
_050_,77.2
_140_,76.66
_134_,76.16
_125_,75.88
_047_,74.72
_139_,74.2
_009_,72.26
_074_,72.18
_019_,70.825
_094_,69.76
_057_,69.39
one_second_counter\[13\],68.76
_133_,67.98
_129_,67.9
_151_,67.34
_016_,65.7
net6,64.8
_053_,64.33
_126_,63.72
one_second_counter\[23\],63.12
_118_,62.18
_105_,61.68
_099_,61.12
_080_,60.78
_031_,60.66
_111_,59.73
_065_,57.72
one_second_counter\[3\],57.18
_021_,56.56
_005_,55.8
_091_,55.74
_025_,54.1
_007_,53.88
_153_,52.56
_012_,52.02
_124_,51.62
_035_,50.84
_062_,50.44
_081_,50.36
_130_,49.88
_158_,48.74
_098_,48.5
_039_,47.19
_089_,46.78
_000_,45.44
_063_,44.94
_137_,44.32
_120_,44.22
_106_,38.3
_017_,37.96
_055_,37.83
_011_,37.5
_103_,32.86
_020_,32.78
_132_,32.44
_070_,31.66
_101_,30.46
_033_,30.01
_002_,29.2
_032_,28.28
_029_,27.46
_051_,27.01
_004_,26.8
_104_,26.1
_144_,24.94
_092_,23.54
_157_,22.64
_040_,22.58
_049_,19.14
_154_,18.22
_152_,17.62
_018_,15.5
_008_,15.1
seg[4],13.43
_093_,13.22
_044_,10.51
rst,10.2
net7,10.2
net14,9.42
net13,8.96
net9,8.72
net12,8.5
net10,8.5
net11,8.04
net15,8.04
net16,8.04
seg[2],7.57
seg[0],6.21
net17,6.18
seg[6],5.19
seg[1],4.85
seg[3],4.85
seg[5],4.85
_043_,3.3
